Home_Team,Away_Team,Home_Score,Home_Xg,Home_Penalty,Away_Score,Away_Xg,Away_Penalty,Home_Manager,Home_Captain,Away_Manager,Away_Captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,Home_Goal,Away_Goal,Home_Goal_Long,Away_Goal_Long,Home_Own_Goal,Away_Own_Goal,Home_Penalty_Goal,Away_Penalty_Goal,Home_Penalty_Miss_Long,Away_Penalty_Miss_Long,Home_Penalty_Shootout_Goal_Long,Away_Penalty_Shootout_Goal_Long,Home_Penalty_Shootout_Miss_Long,Away_Penalty_Shootout_Miss_Long,Home_Red_Card,Away_Red_Card,Home_Yellow_Red_Card,Away_Yellow_Red_Card,Home_Yellow_Card_Long,Away_Yellow_Card_Long,Home_Substitute_In_Long,Away_Substitute_In_Long,Result
Portugal,Switzerland,6,2.3,,1,1.2,,Fernando Santos,Pepe,Murat Yakin,Granit Xhaka,83720,"Lusail Iconic Stadium, Lusail",César Arturo Ramos (Referee) · Alberto Morín (AR1) · Miguel Ángel Hernández (AR2) · István Kovács (4th) · Drew Fischer (VAR),Round of 16,2022-12-06,6–1,César Arturo Ramos,,Qatar,2022,Gonçalo Ramos · 17|Pepe · 33|Gonçalo Ramos · 51|Raphaël Guerreiro · 55|Gonçalo Ramos · 67|Rafael Leão · 90+2,Manuel Akanji · 58,"['17&rsquor;|1:0|Gonçalo Ramos|Assist:|João Félix', '33&rsquor;|2:0|Pepe|Assist:|Bruno Fernandes', '51&rsquor;|3:0|Gonçalo Ramos|Assist:|Diogo Dalot', '55&rsquor;|4:0|Raphaël Guerreiro|Assist:|Gonçalo Ramos', '67&rsquor;|5:1|Gonçalo Ramos|Assist:|João Félix', '90+2&rsquor;|6:1|Rafael Leão|Assist:|Raphaël Guerreiro']",['58&rsquor;|4:1|Manuel Akanji'],,,,,,,,,,,,,,,,"['43&rsquor;|2:0|Fabian Schär', '59&rsquor;|4:1|Eray Cömert']","['73&rsquor;|5:1|Cristiano Ronaldo|for Gonçalo Ramos', '74&rsquor;|5:1|Ricardo Horta|for João Félix', '74&rsquor;|5:1|Vitinha|for Otávio', '81&rsquor;|5:1|Rúben Neves|for Bernardo Silva', '87&rsquor;|5:1|Rafael Leão|for Bruno Fernandes']","['46&rsquor;|2:0|Eray Cömert|for Fabian Schär', '54&rsquor;|3:0|Denis Zakaria|for Remo Freuler', '54&rsquor;|3:0|Haris Seferović|for Djibril Sow', '66&rsquor;|4:1|Noah Okafor|for Ruben Vargas', '89&rsquor;|5:1|Ardon Jasari|for Breel Embolo']",Home Win
Japan,Croatia,1,1.2,1.0,1,1.4,3.0,Hajime Moriyasu,Maya Yoshida,Zlatko Dalić,Luka Modrić,42523,"Al Janoub Stadium, Al Wakrah",Ismail Elfath (Referee) · Corey Parker (AR1) · Kyle Atkins (AR2) · Mustapha Ghorbal (4th) · Nicolás Gallo (VAR),Round of 16,2022-12-05,(1) 1–1 (3),Ismail Elfath,Croatia won on penalty kicks following extra time,Qatar,2022,Daizen Maeda · 43,Ivan Perišić · 55,['43&rsquor;|1:0|Daizen Maeda|Assist:|Maya Yoshida'],['55&rsquor;|1:1|Ivan Perišić|Assist:|Dejan Lovren'],,,,,,,['5|1:2|Takuma Asano'],"['2|0:1|Nikola Vlašić', '4|0:2|Marcelo Brozović', '8|1:3|Mario Pašalić']","['1|0:0|Takumi Minamino', '3|0:1|Kaoru Mitoma', '7|1:2|Maya Yoshida']",['6|1:2|Marko Livaja'],,,,,,"['90&rsquor;|1:1|Mateo Kovačić', '116&rsquor;|1:1|Borna Barišić']","['64&rsquor;|1:1|Takuma Asano|for Daizen Maeda', '64&rsquor;|1:1|Kaoru Mitoma|for Yuto Nagatomo', '75&rsquor;|1:1|Hiroki Sakai|for Daichi Kamada', '87&rsquor;|1:1|Takumi Minamino|for Ritsu Doan', '106&rsquor;|1:1|Ao Tanaka|for Hidemasa Morita']","['62&rsquor;|1:1|Ante Budimir|for Bruno Petković', '68&rsquor;|1:1|Mario Pašalić|for Andrej Kramarić', '99&rsquor;|1:1|Nikola Vlašić|for Mateo Kovačić', '99&rsquor;|1:1|Lovro Majer|for Luka Modrić', '106&rsquor;|1:1|Marko Livaja|for Ante Budimir', '106&rsquor;|1:1|Mislav Oršić|for Ivan Perišić']",Draw
Brazil,Korea Republic,4,3.6,,1,0.5,,Tite,Thiago Silva,Paulo Bento,Son Heung-min,43847,"Stadium 974, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · Slavko Vinčič (4th) · Jérôme Brisard (VAR),Round of 16,2022-12-05,4–1,Clément Turpin,,Qatar,2022,Vinicius Júnior · 7|Richarlison · 29|Lucas Paquetá · 36,Paik Seung-ho · 76,"['7&rsquor;|1:0|Vinicius Júnior|Assist:|Raphinha', '29&rsquor;|3:0|Richarlison|Assist:|Thiago Silva', '36&rsquor;|4:0|Lucas Paquetá|Assist:|Vinicius Júnior']",['76&rsquor;|4:1|Paik Seung-ho'],,,Neymar (P) · 11,,,,,,,,,,,,,['44&rsquor;|4:0|Jung Woo-young'],"['63&rsquor;|4:0|Dani Alves|for Éder Militão', '72&rsquor;|4:0|Gleison Bremer|for Danilo', '72&rsquor;|4:0|Martinelli|for Vinicius Júnior', '80&rsquor;|4:1|Wéverton|for Alisson', '81&rsquor;|4:1|Rodrygo|for Neymar']","['46&rsquor;|4:0|Hong Chul|for Kim Jin-su', '46&rsquor;|4:0|Son Jun-ho|for Jung Woo-young', '65&rsquor;|4:0|Paik Seung-ho|for Hwang In-beom', '74&rsquor;|4:0|Lee Kangin|for Lee Jae-sung', '80&rsquor;|4:1|Hwang Ui-jo|for Cho Guesung']",Home Win
France,Poland,3,1.4,,1,1.7,,Didier Deschamps,Hugo Lloris,Czesław Michniewicz,Robert Lewandowski,40989,"Al Thumama Stadium, Ath-Thumāma",Jesús Valenzuela (Referee) · Jorge Urrego (AR1) · Tulio Moreno (AR2) · Kevin Ortega (4th) · Juan Soto (VAR),Round of 16,2022-12-04,3–1,Jesús Valenzuela,,Qatar,2022,Olivier Giroud · 44|Kylian Mbappé · 74|Kylian Mbappé · 90+1,,"['44&rsquor;|1:0|Olivier Giroud|Assist:|Kylian Mbappé', '74&rsquor;|2:0|Kylian Mbappé|Assist:|Ousmane Dembélé', '90+1&rsquor;|3:0|Kylian Mbappé|Assist:|Marcus Thuram']",,,,,Robert Lewandowski (P) · 90+9,,,,,,,,,,,['32&rsquor;|0:0|Aurélien Tchouaméni'],"['47&rsquor;|1:0|Bartosz Bereszyński', '88&rsquor;|2:0|Matty Cash']","['66&rsquor;|1:0|Youssouf Fofana|for Aurélien Tchouaméni', '76&rsquor;|2:0|Kingsley Coman|for Ousmane Dembélé', '76&rsquor;|2:0|Marcus Thuram|for Olivier Giroud', '90+2&rsquor;|3:0|Axel Disasi|for Jules Koundé']","['64&rsquor;|1:0|Arkadiusz Milik|for Sebastian Szymański', '71&rsquor;|1:0|Nicola Zalewski|for Jakub Kamiński', '71&rsquor;|1:0|Krystian Bielik|for Grzegorz Krychowiak', '86&rsquor;|2:0|Jan Bednarek|for Jakub Kiwior', '87&rsquor;|2:0|Kamil Grosicki|for Przemysław Frankowski']",Home Win
England,Senegal,3,1.0,,0,0.8,,Gareth Southgate,Harry Kane,Aliou Cissé,Kalidou Koulibaly,65985,"Al Bayt Stadium, Al Khor",Iván Barton (Referee) · David Morán (AR1) · Kathryn Nesbitt (AR2) · Said Martínez (4th) · Drew Fischer (VAR),Round of 16,2022-12-04,3–0,Iván Barton,,Qatar,2022,Jordan Henderson · 39|Harry Kane · 45+3|Bukayo Saka · 57,,"['39&rsquor;|1:0|Jordan Henderson|Assist:|Jude Bellingham', '45+3&rsquor;|2:0|Harry Kane|Assist:|Phil Foden', '57&rsquor;|3:0|Bukayo Saka|Assist:|Phil Foden']",,,,,,,,,,,,,,,,,['76&rsquor;|3:0|Kalidou Koulibaly'],"['65&rsquor;|3:0|Jack Grealish|for Phil Foden', '65&rsquor;|3:0|Marcus Rashford|for Bukayo Saka', '76&rsquor;|3:0|Eric Dier|for John Stones', '77&rsquor;|3:0|Mason Mount|for Jude Bellingham', '82&rsquor;|3:0|Kalvin Phillips|for Jordan Henderson']","['46&rsquor;|2:0|Pape Matar Sarr|for Krépin Diatta', '46&rsquor;|2:0|Pape Gueye|for Pathé Ciss', '46&rsquor;|2:0|Bamba Dieng|for Iliman Ndiaye', '72&rsquor;|3:0|Famara Diedhiou|for Boulaye Dia', '84&rsquor;|3:0|Fodé Ballo-Touré|for Ismail Jakobs']",Home Win
Netherlands,United States,3,1.7,,1,1.5,,Louis van Gaal,Virgil van Dijk,Gregg Berhalter,Tyler Adams,44846,"Khalifa International Stadium, Doha",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Andrés Matonte (4th) · Nicolás Gallo (VAR),Round of 16,2022-12-03,3–1,Wilton Sampaio,,Qatar,2022,Memphis · 10|Daley Blind · 45+1|Denzel Dumfries · 81,Haji Wright · 76,"['10&rsquor;|1:0|Memphis|Assist:|Denzel Dumfries', '45+1&rsquor;|2:0|Daley Blind|Assist:|Denzel Dumfries', '81&rsquor;|3:1|Denzel Dumfries|Assist:|Daley Blind']",['76&rsquor;|2:1|Haji Wright|Assist:|Christian Pulisic'],,,,,,,,,,,,,,,"['60&rsquor;|2:0|Teun Koopmeiners', '87&rsquor;|3:1|Frenkie de Jong']",,"['46&rsquor;|2:0|Teun Koopmeiners|for Davy Klaassen', '46&rsquor;|2:0|Steven Bergwijn|for Marten de Roon', '82&rsquor;|3:1|Xavi Simons|for Memphis', '90+3&rsquor;|3:1|Matthijs de Ligt|for Nathan Aké', '90+4&rsquor;|3:1|Wout Weghorst|for Cody Gakpo']","['46&rsquor;|2:0|Gio Reyna|for Jesús Ferreira', '67&rsquor;|2:0|Brenden Aaronson|for Timothy Weah', '67&rsquor;|2:0|Haji Wright|for Weston McKennie', '75&rsquor;|2:0|DeAndre Yedlin|for Sergiño Dest', '90+2&rsquor;|3:1|Jordan Morris|for Antonee Robinson']",Home Win
Argentina,Australia,2,1.6,,1,0.6,,Lionel Scaloni,Lionel Messi,Graham Arnold,Mathew Ryan,45032,"Ahmed Bin Ali Stadium, Umm Al-Afā'Ī",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Mario Escobar (4th) · Tomasz Kwiatkowski (VAR),Round of 16,2022-12-03,2–1,Szymon Marciniak,,Qatar,2022,Lionel Messi · 35|Julián Álvarez · 57,,"['35&rsquor;|1:0|Lionel Messi|Assist:|Nicolás Otamendi', '57&rsquor;|2:0|Julián Álvarez']",,,Enzo Fernández (OG) · 77,,,,,,,,,,,,,,"['15&rsquor;|0:0|Jackson Irvine', '38&rsquor;|1:0|Miloš Degenek']","['50&rsquor;|1:0|Lisandro Martínez|for Papu Gómez', '71&rsquor;|2:0|Lautaro Martínez|for Julián Álvarez', '72&rsquor;|2:0|Nicolás Tagliafico|for Marcos Acuña', '80&rsquor;|2:1|Exequiel Palacios|for Nahuel Molina', '80&rsquor;|2:1|Gonzalo Montiel|for Alexis Mac Allister']","['58&rsquor;|2:0|Craig Goodwin|for Riley McGree', '58&rsquor;|2:0|Ajdin Hrustic|for Keanu Baccus', '72&rsquor;|2:0|Jamie Maclaren|for Mitchell Duke', '72&rsquor;|2:0|Fran Karačić|for Miloš Degenek', '72&rsquor;|2:0|Garang Kuol|for Mathew Leckie']",Home Win
Korea Republic,Portugal,2,1.7,,1,1.3,,Sérgio Costa,Son Heung-min,Fernando Santos,Cristiano Ronaldo,44097,"Education City Stadium, Doha",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Maguette Ndiaye (4th) · Nicolás Gallo (VAR),Group stage,2022-12-02,2–1,Facundo Tello,,Qatar,2022,Kim Young-gwon · 27|Hwang Hee-chan · 90+1,Ricardo Horta · 5,"['27&rsquor;|1:1|Kim Young-gwon', '90+1&rsquor;|2:1|Hwang Hee-chan|Assist:|Son Heung-min']",['5&rsquor;|0:1|Ricardo Horta|Assist:|Diogo Dalot'],,,,,,,,,,,,,,,"['36&rsquor;|1:1|Lee Kangin', '90+2&rsquor;|2:1|Hwang Hee-chan']",,"['66&rsquor;|1:1|Hwang Hee-chan|for Lee Jae-sung', '81&rsquor;|1:1|Son Jun-ho|for Kim Young-gwon', '81&rsquor;|1:1|Hwang Ui-jo|for Lee Kangin', '90+3&rsquor;|2:1|Cho Yumin|for Cho Guesung']","['65&rsquor;|1:1|João Palhinha|for Matheus Nunes', '65&rsquor;|1:1|Rafael Leão|for Rúben Neves', '65&rsquor;|1:1|André Silva|for Cristiano Ronaldo', '82&rsquor;|1:1|Bernardo Silva|for João Mário', '82&rsquor;|1:1|William Carvalho|for Vitinha']",Home Win
Ghana,Uruguay,0,1.6,,2,1.8,,Otto Addo,André Ayew,Diego Alonso,Luis Suárez,43443,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Jan Seidel (AR1) · Rafael Foltyn (AR2) · Yoshimi Yamashita (4th) · Bastian Dankert (VAR),Group stage,2022-12-02,0–2,Daniel Siebert,,Qatar,2022,,Giorgian De Arrascaeta · 26|Giorgian De Arrascaeta · 32,,"['26&rsquor;|0:1|Giorgian De Arrascaeta', '32&rsquor;|0:2|Giorgian De Arrascaeta|Assist:|Luis Suárez']",,,,,['21&rsquor;|0:0|André Ayew|Penalty saved by Sergio Rochet'],,,,,,,,,,"['86&rsquor;|0:2|Kamaldeen Sulemana', '90+9&rsquor;|0:2|Alidu Seidu']","['19&rsquor;|0:0|Darwin Núñez', '60&rsquor;|0:2|Luis Suárez', '87&rsquor;|0:2|Sebastián Coates', '90+10&rsquor;|0:2|Edinson Cavani', '90+10&rsquor;|0:2|José María Giménez']","['46&rsquor;|0:2|Kamaldeen Sulemana|for Jordan Ayew', '46&rsquor;|0:2|Osman Bukari|for André Ayew', '72&rsquor;|0:2|Antoine Semenyo|for Daniel Amartey', '72&rsquor;|0:2|Daniel Kyereh|for Salis Abdul Samed', '90+8&rsquor;|0:2|Abdul Fatawu Issahaku|for Kudus Mohammed']","['34&rsquor;|0:2|Matías Vecino|for Rodrigo Bentancur', '66&rsquor;|0:2|Edinson Cavani|for Luis Suárez', '66&rsquor;|0:2|Nicolás De La Cruz|for Facundo Pellistri', '80&rsquor;|0:2|Maxi Gómez|for Darwin Núñez', '80&rsquor;|0:2|Agustín Canobbio|for Giorgian De Arrascaeta']",Away Win
Cameroon,Brazil,1,0.5,,0,2.5,,Rigobert Song,Vincent Aboubakar,Tite,Dani Alves,85986,"Lusail Iconic Stadium, Lusail",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Ma Ning (4th) · Alejandro Hernández (VAR),Group stage,2022-12-02,1–0,Ismail Elfath,,Qatar,2022,Vincent Aboubakar · 90+2,,['90+2&rsquor;|1:0|Vincent Aboubakar|Assist:|Andre-Frank Zambo Anguissa'],,,,,,,,,,,,,,Vincent Aboubakar · 90+3,,"['6&rsquor;|0:0|Nouhou Tolo', '28&rsquor;|0:0|Pierre Kunde', '33&rsquor;|0:0|Collins Fai', '81&rsquor;|0:0|Vincent Aboubakar']","['7&rsquor;|0:0|Éder Militão', '85&rsquor;|0:0|Bruno Guimarães']","['64&rsquor;|0:0|Karl Toko Ekambi|for Bryan Mbeumo', '66&rsquor;|0:0|Olivier Ntcham|for Pierre Kunde', '86&rsquor;|0:0|Jerome Ngom Mbekeli|for Moumi Ngamaleu']","['55&rsquor;|0:0|Everton Ribeiro|for Rodrygo', '55&rsquor;|0:0|Marquinhos|for Alex Telles', '55&rsquor;|0:0|Bruno Guimarães|for Fred', '64&rsquor;|0:0|Pedro|for Gabriel Jesus', '79&rsquor;|0:0|Raphinha|for Antony']",Home Win
Serbia,Switzerland,2,1.3,,3,2.7,,Dragan Stojković,Dušan Tadić,Murat Yakin,Granit Xhaka,41378,"Stadium 974, Doha",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Mauro Vigliano (VAR),Group stage,2022-12-02,2–3,Fernando Rapallini,,Qatar,2022,Aleksandar Mitrović · 26|Dušan Vlahović · 35,Xherdan Shaqiri · 20|Breel Embolo · 44|Remo Freuler · 48,"['26&rsquor;|1:1|Aleksandar Mitrović|Assist:|Dušan Tadić', '35&rsquor;|2:1|Dušan Vlahović']","['20&rsquor;|0:1|Xherdan Shaqiri|Assist:|Djibril Sow', '44&rsquor;|2:2|Breel Embolo|Assist:|Silvan Widmer', '48&rsquor;|2:3|Remo Freuler|Assist:|Ruben Vargas']",,,,,,,,,,,,,,,"['47&rsquor;|2:2|Sergej Milinković-Savić', '56&rsquor;|2:3|Strahinja Pavlović', '66&rsquor;|2:3|Predrag Rajković', '81&rsquor;|2:3|Nemanja Gudelj', '82&rsquor;|2:3|Aleksandar Mitrović', '90+5&rsquor;|2:3|Nikola Milenković', '90+10&rsquor;|2:3|Saša Lukić']","['15&rsquor;|0:0|Silvan Widmer', '34&rsquor;|1:1|Ruben Vargas', '90+5&rsquor;|2:3|Granit Xhaka', '90+9&rsquor;|2:3|Fabian Schär']","['55&rsquor;|2:3|Nemanja Gudelj|for Miloš Veljković', '55&rsquor;|2:3|Luka Jović|for Dušan Vlahović', '67&rsquor;|2:3|Nemanja Maksimović|for Sergej Milinković-Savić', '78&rsquor;|2:3|Filip Đuričić|for Dušan Tadić', '78&rsquor;|2:3|Nemanja Radonjić|for Andrija Živković']","['68&rsquor;|2:3|Edimilson Fernandes|for Djibril Sow', '69&rsquor;|2:3|Denis Zakaria|for Xherdan Shaqiri', '83&rsquor;|2:3|Christian Fassnacht|for Ruben Vargas', '90+6&rsquor;|2:3|Noah Okafor|for Breel Embolo']",Away Win
